Dealership_Name,Location,Total_Cars_Sold,Total_Revenue
Riou S.A.R.L.,Vasseurdan,4775,3018854.56
Rocher et Fils,Boutin,2979,38430064.35
Lefèvre,Hamel-sur-Mer,2150,5475265.98
Fernandes Weber SARL,Gallet,4031,46564905.27
Pineau,Boutin-les-Bains,4887,21375100.15
Jourdan,Lévêque,2557,11626739.27
Tessier Delaunay S.A.S.,Ruizdan,2547,45944062.49
Goncalves,Lelièvre,1430,28934937.73
Bouchet,Saint Chantalnec,685,19572888.75
Jean,Camus,2563,49508607.67
Barre SARL,Saint Hélène-sur-Mer,1511,7024005.66
Lesage Meunier S.A.,Benoit,1184,47088433.88
Devaux,Da SilvaBourg,3858,21236207.83
Barthelemy,Jacob,112,33442881.76
Da Silva,Blanchard-les-Bains,635,31747027.22
Chauvin,Sainte Roland,100,43048279.25
Labbé,Lemoineboeuf,3564,10240812.46
Guillet SARL,Brun,2195,11949524.29
Buisson,MaceVille,2974,28821185.57
Guyon,Besson-sur-Nicolas,157,14176810.32
Allain Gaudin SA,Schneiderdan,4034,43515827.06
Gros SARL,Weber,682,33401536.57
Daniel Lagarde S.A.R.L.,Germain,4792,3489831.09
Couturier,Sauvage,2106,2503797.3
Rolland,Roger-sur-Vidal,979,20223309.0
Rodriguez Laurent S.A.S.,Clerc-les-Bains,139,42762415.79
Pelletier Legendre SARL,Mendès,3506,40415589.8
Leblanc,Marion,2211,22097566.63
Martin SA,Sainte Grégoire-sur-Mer,2106,34184492.69
Delaunay et Fils,Dijoux,1611,12903973.2
Dumas,Duval,711,27837308.55
Grondin SA,Guilbert,2045,15546086.05
Guillet Lejeune SARL,Barthelemy,4017,10333532.8
Masse SA,Sainte Claire,4138,14586512.24
Bigot,Grégoire,2736,46888127.95
Colas Bertin SARL,Barthelemy-sur-Leleu,4321,46667694.81
Pasquier,Raymond-sur-Costa,4919,31406883.63
Baron S.A.R.L.,Imbert,1502,4903177.76
Renaud,Lemoine,3499,30160066.42
Germain,Bourdon-sur-Charpentier,2357,33428744.96
Guérin,Pinto,2092,23840884.65
Lecomte SARL,Grondin-sur-Morel,2497,38332729.14
Traore,GonzalezVille,2470,41470558.2
Muller Chauvet S.A.,Gomeznec,802,20568382.7
Navarro,Simon-sur-Bruneau,2071,28610414.05
Buisson,Sainte Isaac-sur-Mer,4352,2013621.89
Bouvier Brun S.A.,Marion-sur-Schmitt,1027,30873925.69
Dos Santos Gaillard SARL,Sainte Odette,808,29154718.94
Maréchal Peron S.A.S.,Richarddan,2659,34060093.16
Descamps,CostaBourg,117,37808988.67
Hamel,Saint VictorBourg,3770,18975100.94
Jacob S.A.R.L.,Lecoq,1525,30879570.72
Dumont,Saint AlexandrieVille,4741,3555143.97
Bonneau,Bazin,283,21321389.53
Leduc Joubert S.A.,LefebvreVille,1988,24142591.88
Wagner,Dos Santosnec,583,19242492.8
Maury,Joubert,2268,27029177.76
Gros,Sainte Marianne-la-Forêt,327,43832279.36
Ribeiro,Saint Denise-les-Bains,4429,7026535.3
Schmitt,RoyerVille,320,35228861.3
Bourdon,Saint Nathalieboeuf,4483,22229550.66
Chauvin,Millet,1362,20736217.16
Rossi,Bouchet,263,38979182.01
Prévost Boucher S.A.R.L.,Saint AlexBourg,401,41766449.51
Bouvet S.A.R.L.,Lemonnier,4520,18875209.27
Hoarau et Fils,Louis,2594,39121500.67
Michel et Fils,Thomas-les-Bains,351,30489326.7
Fischer Peltier S.A.R.L.,Boulay,2650,20311698.96
Loiseau,Albert,655,14024515.09
Hamel,MaillardBourg,589,22925534.13
Girard,Prévost,776,43615539.65
Pinto et Fils,Le GoffVille,3350,5460001.4
Nguyen,Royer-sur-Mer,3205,5665266.04
Carpentier,Pichon,3919,25598771.46
Nguyen et Fils,Daniel,2118,49319367.76
Colin,Lemaire,2704,36591380.34
Rousseau,Roger,3057,24790496.06
Carre Aubert S.A.S.,Denisnec,4663,29591200.99
Nicolas Jacques S.A.R.L.,ImbertBourg,690,40390234.78
Maury Dupont SARL,Sainte Nathalie,176,37134313.57
Diallo S.A.,Laine,2436,44158182.32
Chevalier,Joubertboeuf,440,22182847.37
Chauvin,Buisson,743,30315622.6
Gauthier,Sainte Zacharie-les-Bains,3196,18647647.55
Turpin,Clercnec,1823,12877495.82
Marques,Dubois,2553,17902386.59
Mahe,Lagardenec,807,19396526.68
Monnier SA,Robin-sur-Hamon,1169,42542448.73
Perret,Sainte Corinne,620,39921863.78
Garcia et Fils,Lombard,2176,29274284.11
Guillaume Renaud SARL,Paul,1086,11713983.84
Huet Munoz SA,Potier-sur-Guillaume,4330,5653056.62
Berthelot,Joly,3862,40311896.53
Caron S.A.S.,Bonneau-sur-Mer,4923,1313565.57
Turpin,Lévy,4607,26849232.47
Rocher,Payetnec,3828,6212727.86
Fabre S.A.,Lemonnierboeuf,4061,20631937.38
Maury,Sanchez,2474,40389395.03
Gomez Paul S.A.S.,Chauveau-les-Bains,1807,24377645.0
Dupuis,Gillet,3169,26004672.24
Girard,Saint William,4558,42817521.82
Lévêque,Saint Philippinenec,3709,6562644.58
Martins,Mercier,2751,44062315.84
Perrot,Neveu-sur-Schmitt,3248,23062812.59
Dubois,Lelièvre,3724,49757369.46
Rousset,François,3608,21115793.03
Chrétien SARL,Raymond,356,5484359.99
Adam S.A.R.L.,RodriguesBourg,4261,42475196.9
Raymond,Navarro,1758,20315371.32
Besson,Brunel,4948,32433197.19
Blanchet Laurent SA,Rousset-sur-Vidal,1770,9535593.44
Meyer,Sainte LuceVille,1940,34285770.99
Leblanc SARL,Germain,1271,49009841.94
Le Roux,Bruneau-sur-Mer,2594,47484856.14
Lebrun,Rolland,4399,19714700.0
Marchal et Fils,Bonnin-sur-Carpentier,4632,16426390.39
Fournier,Cordier,1421,21376977.59
Collin,Sainte Constance,2050,21391023.29
Labbé SA,Roche-la-Forêt,4509,39951202.09
Roux Hernandez SA,Perret-sur-Martel,2876,40395135.63
Bernard,Poirier,4226,4378508.85
Nguyen,PoirierBourg,596,1806889.81
Briand Vasseur SARL,Hardy,454,30942254.69
Diallo Marie et Fils,Poulain,731,42434115.36
Lefebvre S.A.S.,Le Roux,3324,41816666.8
Hardy S.A.R.L.,Hubertdan,460,29946464.42
Faivre,Pinto,345,35847190.78
Techer,Sainte David-sur-Mer,4664,3624505.22
Thomas,Cousin-les-Bains,2149,34013569.94
Bruneau,Pinto-sur-Mer,4749,24251695.31
Delmas,Garnier,3780,45468845.59
Besson,Leclerc-sur-Fernandez,1754,22984587.31
Imbert et Fils,Laine,701,27441077.54
Alexandre,Garnier-sur-Hardy,411,18991757.27
Renaud,Albert,2660,45699340.09
Dupuy,Letellier,2161,39562358.36
Pons,Hamon,430,43331075.07
Bazin S.A.,Marty,4608,4570721.93
Bourgeois,Schneider-sur-Pierre,100,20752577.62
Laurent,Martinez,4335,31932003.44
Pichon Salmon et Fils,Bourdonboeuf,772,23677985.26
Gérard,Navarro,2171,15424148.31
Pascal,CostaBourg,1793,28866412.76
Raymond S.A.S.,Bruneaudan,3718,47958570.15
Brunel Barthelemy S.A.S.,Saint Jeannine-la-Forêt,4704,34684156.46
Bigot,Saint Josette,4030,49314446.9
Barre,Teixeira-la-Forêt,3064,42765848.34
Lesage,Chauveau-sur-Mer,591,31595695.31
Rousseau Chrétien et Fils,Pichon,4921,12578632.02
Thibault,Georges,785,45766516.61
François,Le Goff-les-Bains,1996,32464334.18
Pineau et Fils,Tessier,511,21418709.13
François,Mercier,958,48517121.04
Robin Turpin SARL,Torres,685,48987446.46
Ferrand,VidalVille,4961,17935587.2
Hardy,Jacquet,4605,20032643.66
Carpentier Lelièvre SA,VaillantVille,4382,38837446.11
Denis S.A.R.L.,Labbéboeuf,1168,18280654.59
Boyer S.A.,Guillouboeuf,732,4141348.35
Richard SA,Saint Astrid-sur-Mer,2020,24542509.52
Cordier Bonneau SA,Marques,1857,2232020.96
Blondel,Saint Tristan,1547,7979831.51
Delaunay,Bourdon,1002,31730175.63
Jacquet,Rousseau,2816,6516114.62
Lévêque Martel S.A.,Humbert-sur-Mer,2875,11259483.07
