Campaign_Name,Target_Location,Campaign_Type,Budget,Success_Rate
Gillet S.A.S.,Étienne-sur-Mer,Social Media,227468,0.7085583857534988
Diallo SARL,Adam-sur-Mer,Social Media,230631,0.5966381071256807
Bonneau SARL,Roussel-les-Bains,TV,481059,0.24950174048337095
Raymond S.A.R.L.,Dijoux,TV,263792,0.6292850758570978
Perrin S.A.R.L.,Fernandez,Radio,205717,0.3226861072757631
Blot,Maillard-sur-Gay,TV,354063,0.8869601273179495
Da Costa,Dupuy-sur-Bruneau,Radio,86571,0.6739779764707264
Seguin,Fouquetdan,Social Media,468463,0.5147846892264253
Benard SARL,BrunetVille,TV,408370,0.4754472908066075
Mace,Berger,Billboards,136352,0.4258541355580556
François et Fils,Hervénec,TV,103007,0.35066887583892936
Duhamel,Moulin,Social Media,451510,0.6894781204351947
Martin,Chevalier,TV,135326,0.20539618962316297
Guillou Lelièvre SARL,Lemonnier,Billboards,32827,0.608673785596719
Maréchal SARL,Barre,Billboards,270958,0.43326154612506096
Maillot Maillot SARL,Sainte Charlotte-la-Forêt,TV,289814,0.22429030561700147
Le Gall,Dufour,Social Media,138484,0.20418625953081238
Raynaud et Fils,Gros-sur-Royer,TV,254938,0.2850797279993219
Bouvet,Lévêque,Social Media,445780,0.29227694308868024
Fournier Alexandre S.A.,SalmonVille,Social Media,111330,0.16200890491602957
Roux Bernier SA,Grégoire,Radio,361218,0.23484097644303442
Benard,Saint Nathalie,Billboards,370494,0.4299870875894575
Weiss,Cohen,Billboards,124684,0.22657666081217442
Langlois SA,Gay-sur-Humbert,Social Media,352209,0.34979189042339065
Brunel Poirier S.A.R.L.,Thomas,Social Media,156222,0.6398192160195494
Rey S.A.,AubryVille,Radio,180793,0.8841127316660459
Marin,Hoareau,Social Media,446479,0.26896917342800536
Descamps Hamel SARL,Pelletier,Radio,325398,0.7738069954943472
Imbert S.A.S.,GaudinBourg,TV,155156,0.8229831217239748
Loiseau S.A.R.L.,Petit-sur-Mer,Social Media,15694,0.850918975896981
Teixeira SARL,Bègue,Billboards,147411,0.2878712835213867
Moulin Verdier SA,Maillotnec,Billboards,52110,0.6213973298030029
Weiss,Antoine,Billboards,252098,0.7122621982857085
Delorme SA,Sainte Jeanne,TV,268389,0.7326450153961137
Mendès,Sainte Françoise,Radio,90512,0.16639804265966396
Fleury,Lelièvrenec,TV,131171,0.3973262908229114
Klein S.A.,Guilbert,Billboards,251458,0.468948405015308
Petitjean,Coste,TV,373119,0.6391287789260939
