Vehicle_ID,Vehicle_Model,Fuel_Type,Price,Stock_Level,Warehouse_Location
2000,Fischer Bourdon S.A.R.L. SUV,Diesel,94978.96,12.0,Neveu
2001,Lévêque S.A.S. SUV,Diesel,64223.92,100.0,Charles
2002,Lombard SUV,Diesel,118008.57,96.0,Garcia-la-Forêt
2003,Bailly SUV,Electric,93415.56,37.0,Robin
2004,Loiseau SUV,Hybrid,61167.1,70.0,Aubertdan
2005,Maury SARL Convertible,Electric,40269.35,35.0,Roger
2006,Maréchal Hatchback,Hybrid,105960.61,34.0,Blanchard-sur-Mer
2007,Robin SARL Sedan,Gasoline,88074.85,10.0,Delahaye
2008,Blondel et Fils SUV,Gasoline,77919.74,18.0,Caron
2009,Schmitt Truck,Diesel,42692.73,18.0,Sainte ÉmileVille
2010,Morin Truck,Electric,30687.28,9.0,Jacquotboeuf
2011,Martin Convertible,Electric,22509.61,,Saint AdèleVille
2012,Lacombe Sedan,Diesel,87112.65,17.0,DelaunayBourg
2013,Dufour Truck,Diesel,90546.7,82.0,Baillyboeuf
2014,Bourgeois Lelièvre SA Truck,Diesel,49404.39,,Denis
2015,Collin Truck,Electric,106838.84,59.0,Massondan
2016,Guilbert Sedan,Gasoline,30458.72,,Blot
2017,Boyer Menard SA Hatchback,Hybrid,89106.41,31.0,Didier
2018,Boulanger Convertible,Hybrid,28226.69,58.0,Bourgeois
2019,Chrétien Vallet S.A.S. Sedan,Diesel,53004.7,,Sainte Madeleine
2020,Bourgeois Baudry S.A. Convertible,Hybrid,34927.77,31.0,Becker
2021,Caron Hebert S.A.R.L. Truck,Hybrid,19490.38,34.0,Lelièvre-les-Bains
2022,Deschamps Convertible,Diesel,96205.24,64.0,FontaineBourg
2023,Humbert Masse S.A.R.L. SUV,Hybrid,87527.4,83.0,Laporte-sur-Lagarde
2024,Vallet Sedan,Diesel,85093.63,80.0,Blanchard
2025,Pascal S.A.S. Truck,Diesel,83817.93,71.0,Sainte Laurent
2026,Guillaume Hatchback,Hybrid,30841.79,38.0,Sainte AugusteVille
2027,Parent Sedan,Diesel,69674.61,100.0,Saint Inèsnec
2028,Nguyen Sedan,Hybrid,52632.92,87.0,BonninVille
2029,Perrier SA Truck,Gasoline,70209.08,91.0,Girard
2030,Daniel Sedan,Electric,67603.64,97.0,Grondin-les-Bains
2031,Delahaye SA Sedan,Electric,84497.38,33.0,Ruiz
2032,Rolland Sedan,Hybrid,95353.43,15.0,Chauvetnec
2033,Morin SUV,Gasoline,101696.1,17.0,Olliviernec
2034,Meyer Hatchback,Diesel,86244.39,33.0,Bousquetdan
2035,Rivière Blondel SA Truck,Diesel,100603.77,57.0,Garniernec
2036,Bourgeois Sedan,Diesel,83475.42,89.0,Dijouxboeuf
2037,Menard Maillard SARL Truck,Gasoline,59605.85,92.0,Joly
2038,Mary SA SUV,Diesel,109972.04,30.0,Pelletier-sur-Mer
2039,Hernandez Hatchback,Electric,46369.61,6.0,Chrétiennec
2040,Schneider SARL Convertible,Electric,101898.31,21.0,Sainte IsaacVille
2041,Guillou S.A.R.L. SUV,Electric,37132.44,90.0,Salmon
2042,Texier Hatchback,Electric,51996.83,51.0,Guibert
2043,Joly Hardy S.A.S. Truck,Gasoline,89114.59,11.0,Petitjeannec
2044,Lemaire S.A.R.L. SUV,Electric,47928.75,6.0,BigotVille
2045,Texier Truck,Diesel,15453.75,33.0,Leblanc
2046,Le Roux Convertible,Gasoline,47363.46,28.0,Baudry
2047,Potier SUV,Gasoline,70101.62,4.0,Rémy-sur-Joly
2048,Lefebvre Convertible,Hybrid,17413.3,26.0,Baudry-les-Bains
2049,Marin Martel SARL SUV,Hybrid,58135.54,12.0,Collin-sur-Martel
2050,Gaudin SARL Hatchback,Electric,34827.07,21.0,Lefebvre
2051,Delannoy Hatchback,Gasoline,61350.45,80.0,Valette-sur-Mer
2052,Boyer Vasseur SARL Hatchback,Gasoline,45028.65,83.0,Briand
2053,Renault Sedan,Electric,40836.6,21.0,Saint LucyVille
2054,Adam SUV,Hybrid,64673.06,82.0,Saint Bernadette
2055,Huet Truck,Gasoline,49413.3,71.0,Denisdan
2056,Hervé Bertrand et Fils Sedan,Electric,64431.11,82.0,Saint Henriboeuf
2057,Pinto Sedan,Electric,65197.4,8.0,Delahaye
2058,Chrétien Lévêque S.A.R.L. Sedan,Electric,57116.65,17.0,Gaudin-sur-Mer
2059,Giraud S.A.R.L. Sedan,Gasoline,49301.71,96.0,Moreau-sur-Nicolas
2060,Lelièvre Truck,Gasoline,40381.39,81.0,Sainte Agnès
2061,Martineau Sedan,Electric,45220.06,29.0,Sainte Margaret-sur-Mer
2062,Bonnin Meyer S.A. Sedan,Hybrid,77430.24,3.0,Diallo-les-Bains
2063,Millet et Fils SUV,Diesel,74152.58,9.0,Dias
2064,Roy S.A. Hatchback,Electric,103056.86,72.0,Grenier
2065,Garcia Sedan,Electric,61052.51,32.0,Gautier
2066,Brunel Charrier S.A.S. Hatchback,Hybrid,29327.21,52.0,Monnier
2067,Marchal Étienne SA Convertible,Electric,75755.72,23.0,Morin
2068,Renault Truck,Diesel,73086.24,48.0,Picard
2069,Leblanc S.A.R.L. Truck,Electric,62874.1,2.0,Bonneau
2070,Dupont S.A.R.L. Hatchback,Diesel,101824.96,61.0,Joubert
2071,Regnier et Fils SUV,Hybrid,109685.89,93.0,Perrindan
2072,Lelièvre Hatchback,Gasoline,15486.59,,Boucher
2073,Joseph Legros S.A.S. Convertible,Electric,116246.09,81.0,Saint Louis
2074,Peron De Sousa S.A.R.L. Sedan,Diesel,42902.23,12.0,Louisboeuf
2075,Boulay SA Truck,Hybrid,35903.71,55.0,Saint Olivie
2076,Weiss Truck,Gasoline,94039.7,58.0,Saint Corinne
2077,Gros S.A.R.L. SUV,Electric,47606.52,72.0,Perrier
2078,Riou et Fils Sedan,Diesel,70503.0,83.0,Sainte Alexandrie
2079,Vallet Convertible,Gasoline,23961.03,62.0,Deschamps-sur-Labbé
2080,Hamel et Fils Convertible,Gasoline,98256.84,34.0,Samsondan
2081,Maury S.A.R.L. Truck,Electric,67841.67,100.0,Leducnec
2082,Lévy Convertible,Gasoline,20057.24,0.0,Lagarde
2083,Marques SA Sedan,Electric,83613.95,28.0,Lebrun
2084,Martel et Fils Truck,Electric,21111.31,61.0,Renault-la-Forêt
2085,Masson et Fils SUV,Electric,114379.92,31.0,Humbertnec
2086,Martin Charles S.A. Hatchback,Hybrid,92285.42,,Rey
2087,Bernier SA Truck,Diesel,68228.1,65.0,Bourdon-les-Bains
2088,Fontaine Bouvet SARL Hatchback,Diesel,19496.83,12.0,Saint Georges
2089,Rossi Sauvage S.A. Convertible,Hybrid,103694.77,78.0,Saint Marthe
2090,Roger SARL SUV,Gasoline,92320.0,,Masseboeuf
2091,Bègue Auger S.A.S. Truck,Electric,51785.75,48.0,DialloBourg
2092,Seguin Truck,Diesel,67259.51,77.0,Guyon-sur-Boulanger
2093,Étienne SUV,Electric,18438.05,86.0,Saint Thibaut-les-Bains
2094,Hervé Convertible,Electric,72988.16,8.0,Pichon
2095,Boutin SUV,Electric,33232.1,43.0,Hardy-les-Bains
2096,Gimenez S.A.S. Sedan,Diesel,94022.67,23.0,Duhamel
2097,Dumas Truck,Hybrid,94896.31,15.0,Sainte IsaacBourg
2098,Caron Legros S.A.S. SUV,Electric,32448.94,69.0,Brun
2099,Denis Sedan,Hybrid,89521.67,50.0,Garniernec
2100,Brunet Sedan,Gasoline,111219.28,35.0,Chauvet-la-Forêt
2101,Pons S.A.R.L. Truck,Diesel,109525.67,10.0,Carpentier-sur-Texier
2102,Lombard Barbier S.A.R.L. Convertible,Diesel,82795.3,89.0,Lecomte-la-Forêt
2103,Denis SUV,Gasoline,91770.28,68.0,Barre
2104,Munoz Sedan,Gasoline,62353.3,9.0,Lombard-sur-Morin
2105,Valentin S.A.S. Sedan,Hybrid,87358.28,46.0,Vincent
2106,Guillaume SUV,Diesel,56838.65,,Martinez-sur-Morin
2107,Pelletier Convertible,Diesel,103593.74,73.0,Saint Thibaut
2108,Laroche Convertible,Gasoline,32759.61,0.0,Reydan
2109,Étienne SUV,Gasoline,61977.93,51.0,Laroche-la-Forêt
2110,Paris SUV,Diesel,16497.02,31.0,Sainte William-sur-Mer
2111,Bousquet Hatchback,Electric,60385.69,23.0,Bernier
2112,Bousquet Gauthier S.A.S. SUV,Gasoline,83308.58,11.0,Gilbert-la-Forêt
2113,Benoit Truck,Electric,111388.28,,Andre
2114,Lagarde Hatchback,Hybrid,97224.17,93.0,GautierBourg
2115,Maury Truck,Hybrid,99692.15,64.0,Sainte Diane
2116,Grenier Maillard S.A.R.L. Convertible,Gasoline,45077.02,95.0,Blot
2117,Lefort Lenoir et Fils Convertible,Gasoline,42421.44,10.0,Roy-sur-Boyer
2118,Gosselin Convertible,Electric,42308.71,31.0,Sainte Émilieboeuf
2119,Leroy Joseph S.A.R.L. Truck,Electric,77985.55,80.0,Henry
2120,Cohen SUV,Gasoline,91451.19,94.0,Nicolas-la-Forêt
2121,Roche Blondel SARL SUV,Hybrid,49784.67,55.0,Klein
2122,Besnard Hatchback,Diesel,46915.37,76.0,Gillet
2123,Barbier SUV,Gasoline,94531.83,85.0,Saint Lucydan
2124,Torres Sedan,Hybrid,58503.55,59.0,Fabre
2125,Hamon Truck,Diesel,110782.09,80.0,Sainte Manon
2126,Turpin Sedan,Electric,104662.3,60.0,Guyon
2127,Chartier S.A. Hatchback,Hybrid,52705.98,41.0,RossiVille
2128,Bonnet SUV,Hybrid,80243.2,28.0,JoubertVille
2129,Menard et Fils Hatchback,Diesel,95827.94,51.0,Colas
2130,Dufour Convertible,Hybrid,116796.55,91.0,Hoareau-sur-Mer
2131,Barthelemy S.A.R.L. Hatchback,Hybrid,47243.99,70.0,Lagarde-sur-Lopes
2132,Letellier SUV,Diesel,35320.93,25.0,Benard
2133,Vaillant Turpin S.A.S. Truck,Gasoline,55025.5,,Valettenec
2134,Tessier Bonneau SA Sedan,Gasoline,79883.9,25.0,Perrierdan
2135,Raymond SA Convertible,Gasoline,47569.81,84.0,Fernandez
2136,Bouchet S.A.S. Hatchback,Electric,91950.32,40.0,Fleury
2137,Buisson Teixeira SARL Convertible,Diesel,24552.27,50.0,Saint Alexboeuf
2138,Camus SARL Truck,Electric,18154.23,60.0,Maréchal
2139,Martel Convertible,Hybrid,96721.44,33.0,GuérinBourg
2140,Potier Barbe SARL Sedan,Gasoline,97114.95,34.0,Dupont
2141,Royer SARL SUV,Gasoline,27994.06,,Henry-la-Forêt
2142,Lebrun et Fils Hatchback,Gasoline,75512.5,12.0,Gonzalez
2143,Lévy Ollivier S.A. Truck,Diesel,21747.89,100.0,BoucherVille
2144,Turpin et Fils Truck,Gasoline,33087.03,98.0,Sainte Michelle
2145,Jean Perret S.A.R.L. Convertible,Hybrid,67186.14,18.0,Girard
2146,Chrétien Sedan,Gasoline,49915.73,26.0,Barredan
2147,Lamy Convertible,Electric,80946.97,90.0,Saint Julien
2148,Menard et Fils Truck,Gasoline,60742.09,0.0,Gomesboeuf
2149,Bouvet Convertible,Diesel,70798.28,78.0,Saint Mathilde
2150,Rousseau Sedan,Electric,73157.66,,Saint Élisabeth-la-Forêt
2151,Laporte Convertible,Hybrid,43867.61,32.0,Gosselin-sur-Mer
2152,Clément Lagarde SA Hatchback,Diesel,30559.85,1.0,Colin-sur-Mer
2153,Leclercq SUV,Gasoline,86690.33,4.0,Monnier
2154,Jean SARL Convertible,Hybrid,96750.78,84.0,Foucher-sur-Regnier
2155,David S.A.S. Hatchback,Gasoline,77973.19,94.0,Huet
2156,Benoit Sedan,Hybrid,104262.99,76.0,Fourniernec
2157,Guillot Chauvet SA Truck,Diesel,50102.35,9.0,Martineau-sur-Gay
2158,Sanchez S.A. SUV,Hybrid,20743.36,84.0,Saint Julien-les-Bains
2159,Maillot Moreau S.A. Convertible,Electric,114544.22,0.0,Gilbert-sur-Dos Santos
2160,Carlier Lemaître et Fils Sedan,Gasoline,39339.71,,Gauthier
2161,Lejeune et Fils Truck,Diesel,29788.55,45.0,Durand
2162,Dupont et Fils SUV,Diesel,26315.23,96.0,Sainte Dominique-les-Bains
2163,Carpentier Sedan,Hybrid,68840.04,92.0,Saint Adélaïde
2164,Pierre Hatchback,Gasoline,35458.46,11.0,Vallet
2165,Leroux Bouchet et Fils Hatchback,Hybrid,89835.42,78.0,Sainte AntoinetteBourg
2166,Lemaire Lacombe S.A.R.L. Hatchback,Diesel,19196.02,7.0,Sainte Georgesboeuf
2167,Thibault Sedan,Hybrid,37749.55,48.0,Blanchard-sur-Mer
2168,Bailly SARL Hatchback,Gasoline,107018.07,7.0,Berthelot-sur-Couturier
2169,Lemaître S.A.R.L. Hatchback,Electric,18672.27,86.0,Saint Vincent-la-Forêt
2170,Pruvost SA Convertible,Gasoline,101745.84,80.0,Charles
2171,Foucher Hatchback,Diesel,52268.98,,Étienne
2172,Charrier SUV,Gasoline,84410.48,57.0,Ferreira
2173,Gallet Meyer S.A.R.L. Sedan,Gasoline,58716.5,93.0,Grondin
2174,Albert et Fils Truck,Diesel,109341.58,54.0,Bonnet
2175,Thierry Besson et Fils Convertible,Electric,91531.25,95.0,Leroux
2176,Duhamel SA Convertible,Diesel,40090.28,72.0,Leconte-sur-David
2177,Lambert Convertible,Gasoline,90327.35,10.0,Saint Emmanuelle
2178,Laroche Truck,Electric,96550.99,41.0,Valette-sur-Mer
2179,Fischer Besson S.A.R.L. Truck,Gasoline,95957.02,21.0,Mace
2180,Gonzalez Convertible,Hybrid,57726.92,15.0,GaudinVille
2181,Bouvet Sedan,Gasoline,33709.28,7.0,Teixeira
2182,Gauthier Bernard et Fils Hatchback,Gasoline,45428.02,5.0,BoutinVille
2183,Benoit Hatchback,Diesel,21825.84,84.0,Saint Aurélie
2184,Torres Hatchback,Electric,72383.36,93.0,Saint Claude-les-Bains
2185,Huet SA Hatchback,Hybrid,30264.47,25.0,Ribeiro
2186,Guérin Jacob SARL Sedan,Hybrid,115568.11,55.0,Saint Jacquesdan
2187,Allard Hatchback,Hybrid,98404.86,60.0,Poulain-sur-Mer
2188,Olivier SA SUV,Gasoline,74080.57,66.0,Étienne
2189,Bertrand Hatchback,Gasoline,66462.96,,Bourgeoisdan
2190,Pottier Renault SA Hatchback,Electric,116861.45,13.0,Maillet-les-Bains
2191,Simon Sedan,Hybrid,78923.01,98.0,Sanchez
2192,Pelletier Sedan,Gasoline,92857.3,,Grosnec
2193,Leleu et Fils SUV,Hybrid,74261.9,84.0,Samson
2194,Maréchal Renault S.A. Truck,Gasoline,112338.02,99.0,Becker
2195,Daniel SUV,Electric,104593.54,65.0,Saint Moniquedan
2196,Colin et Fils Convertible,Hybrid,46720.23,79.0,Allaindan
2197,Renaud SA Sedan,Hybrid,106581.56,100.0,Saint Marcelledan
2198,Dupont et Fils Truck,Hybrid,116228.67,73.0,Berthelot-sur-Roy
2199,Schmitt Potier et Fils Sedan,Diesel,100420.24,51.0,Garnier
2200,Godard Cohen SA Sedan,Electric,43311.17,94.0,Normand
2201,Marty SUV,Diesel,41680.27,,Saint Adrien
2202,Raynaud Lucas S.A. Sedan,Hybrid,119577.08,,Chrétien
2203,Camus Briand S.A. Sedan,Hybrid,95128.26,65.0,BarbeVille
2204,Étienne Robin S.A.S. Hatchback,Electric,23566.69,11.0,Aubert
2205,Laporte Blanchard S.A. SUV,Hybrid,59656.5,20.0,Leleu
2206,Couturier et Fils Truck,Electric,58219.38,91.0,Sainte Eugène
2207,Payet Truck,Hybrid,33557.68,47.0,Laurentnec
2208,Delattre Hatchback,Electric,71950.83,13.0,Meyernec
2209,Pinto Raynaud S.A.R.L. Truck,Gasoline,51085.48,39.0,Sainte Claire-sur-Mer
2210,Bouvier Hatchback,Electric,103372.85,62.0,Grégoire
2211,Guyon Truck,Hybrid,77627.48,72.0,Collet
2212,Toussaint Convertible,Diesel,70627.88,33.0,Hoareaunec
2213,Toussaint Roger S.A.S. Sedan,Hybrid,51463.1,20.0,Sainte Auguste-les-Bains
2214,Seguin S.A. Sedan,Gasoline,78004.97,66.0,Alexandre-sur-Mer
2215,Nicolas Hatchback,Diesel,115132.67,9.0,Blanc
2216,Brunet Convertible,Diesel,54392.39,49.0,Morel
2217,Lecoq Truck,Hybrid,17622.47,41.0,Marques-la-Forêt
2218,Dumas SA Sedan,Gasoline,19782.09,85.0,Chauvin-sur-Gaudin
2219,Charrier Sedan,Electric,32089.53,77.0,Denisnec
2220,Diaz Convertible,Electric,50811.59,95.0,Rémy
2221,Masson Allard et Fils Truck,Electric,101178.16,6.0,MassonVille
2222,Hernandez Guillon et Fils Hatchback,Gasoline,110988.21,50.0,Mace
2223,Delorme Hatchback,Gasoline,71147.95,0.0,Bazin
2224,Chevallier Convertible,Electric,27651.95,,Caron
2225,Pichon Sanchez S.A.R.L. Truck,Electric,84522.81,,Carpentier
2226,Techer Convertible,Hybrid,117882.95,58.0,Aubry
2227,Guichard SUV,Hybrid,71380.51,19.0,Ledoux-sur-Mer
2228,Sauvage SUV,Diesel,102786.05,32.0,JeanVille
2229,Jacques Truck,Diesel,22548.73,85.0,LenoirBourg
2230,Bourdon SUV,Diesel,80073.07,31.0,Lacroixnec
2231,Salmon Sedan,Electric,39975.21,36.0,Blanchard
2232,Hoarau Lombard et Fils Hatchback,Diesel,25267.27,24.0,Louis
2233,Grenier Sedan,Hybrid,119679.04,88.0,Humbert
2234,Lambert S.A.S. SUV,Hybrid,38290.72,63.0,Boulanger
2235,Guyot Hatchback,Electric,55098.56,10.0,Saint Alphonse-sur-Mer
2236,Couturier Blanchet S.A. SUV,Hybrid,57835.68,53.0,Robert
2237,Langlois Convertible,Electric,27681.14,,Godardboeuf
2238,Langlois Convertible,Diesel,75075.47,99.0,LeducVille
2239,Martinez Sedan,Gasoline,67290.74,54.0,Vaillant
2240,Chauveau SA SUV,Gasoline,22133.14,8.0,Guillon
2241,Pons Goncalves S.A.S. Convertible,Hybrid,45732.47,21.0,Barbier
2242,Le Roux S.A.R.L. Convertible,Gasoline,38933.04,24.0,Simon-les-Bains
2243,Robert Truck,Diesel,117997.16,65.0,Robin
2244,Maillard S.A.R.L. Hatchback,Hybrid,75619.33,37.0,Verdier
2245,Hubert S.A.S. Convertible,Hybrid,76667.2,17.0,Garnier
2246,Garcia SUV,Diesel,74232.83,90.0,Sainte Alphonse-la-Forêt
2247,Hamon Convertible,Electric,112160.34,76.0,Legros
2248,Georges Becker et Fils Sedan,Gasoline,41832.32,70.0,Besnard
2249,Lemaître Convertible,Gasoline,66459.13,69.0,Sainte Marianne
2250,Jacob Sedan,Electric,81133.31,68.0,Girard
2251,Lévy Cousin SA Hatchback,Electric,111934.93,,Chauvet
2252,Gros Truck,Diesel,63855.15,1.0,Ribeironec
2253,Hamel Sedan,Gasoline,65950.22,7.0,Dumont
2254,Diaz Truck,Hybrid,70716.73,61.0,Adam-sur-Bègue
2255,Berthelot Sedan,Gasoline,77086.25,90.0,Coulonboeuf
2256,Legrand Sedan,Electric,32913.2,15.0,Couturierdan
2257,Delahaye SA SUV,Electric,71627.77,27.0,Imbert
2258,Carre Truck,Electric,26056.82,21.0,Moreau-sur-Mer
2259,Bonnet Hatchback,Gasoline,69130.61,45.0,Andre
2260,Bouvier SA Sedan,Electric,44549.31,67.0,Sainte Vincent
